Códigos de Participante de Consumidores Directos,,,,
,,,,
Código,Empresa,Unidad,Fecha Alta,Estado
"1345
1822
1065
1165
1647
1514
1514
1514
1514
1514
1092
1629
1482
1277
1146
0955
0551
1254
1433
0994
1194
1753
1459
1703
0883
1927
0821
1496
1378
0914","SPINREACT SAU
STOCKFIL S.L
SULAYR RECYCLING PET TRAYS SLU
SULAYR SORTING SL
TECHNOLOGY AND SECURITY DEVELOPMENTS S.L
TELECOR, S.A
TELECOR, S.A
TELECOR, S.A
TELECOR, S.A
TELECOR, S.A
TEXTIL A ORTIZ SAU
TEXTIL PUIG UBACH SA
TEXTIL VALOR S.L
TGB S.A
THE SPB GLOBAL CORPORATION S.L
THERMOLYMPIC S.L
TORTOSA ENERGIA, S.A.
TOTAL ENERGIES CLIENTES S.A.
TRADEBE GESTION ESPAÑA SL
TRANSPORTES INTERURBANOS DE TENERIFE, S.A (1)
TVITEC SYSTEM GLASS
TVITEC SYSTEM GLASS
UNITEX SA
VALERO FORN TRADICIONAL SL
VALLES PLASTIC FILM, S.L.
VIÑAOLIVA SOCIEDAD COOPERATIVA
VISCOCEL
WIND TO MARKET
WIND TO MARKET S.A.
ZEREP CARBONICAS Y AGUAS S.A","SPINC01
STOC01
SULAC01
NIVAC01
TECHC01
TLCRC01
TLREGC
TLRELF
TLRETF
TLRESB
TEXZC01
PUIC01
VALOC01
TGBSC01
SPBBC01
THERC01
TORTE01
EDPCOX
TRADC01
TITSATF
TEVIC01
TEV2C01
SEDAC01
VALRC01
VPFIC01
VIOLC01
VISC01
WMARCAX
EUCDR01
ZEREC01","26/01/2019
04/05/2024
06/10/2015
15/12/2016
25/02/2022
25/11/2020
23/04/2022
23/04/2022
09/04/2022
02/04/2022
26/01/2016
01/01/2022
12/08/2020
28/02/2018
01/09/2016
09/10/2014
01/04/2004
01/02/2024
01/03/2020
02/03/2015
05/04/2017
11/07/2023
01/06/2020
08/11/2022
01/10/2013
20/06/2025
29/08/2012
01/10/2020
01/11/2022
22/02/2014",VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,"Baja a:
24/11/2024"
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
,,,,VIGENTE
,,,,
26 agosto 2025 6 de 6,,,,
