Códigos de Modelos de Contadores,,,,,,
SCHLUMBERGER,,,,,,
Código,Modelo,N.Hilos,Registrador,Medida,Precisión Activa,Precisión Reactiva
"SCH6
SCH7
SCH11
SCH1
SCH4
SCH3
SCH5
SCH2","QUANTUM D200
QUANTUM D300
QUANTUM Q1000
QUANTUM STQ-121
QUANTUM STQ-121 M
QUANTUM STQ-220
QUANTUM STQ-220 M
QUANTUM STQ-230","4
4
4
4
4
4
4
4","N
N
N
S
N
N
N
N","Absoluto
Absoluto
Absoluto
Absoluto
Absoluto
Absoluto
Absoluto
Absoluto","0,5
0,5
0,2S
0,2S
0,2S
0,2S
0,2S
0,2S","1
1
2
0,5
0,2
0,5
0,2
0,5"
SIEMENS METERING,,,,,,
Código,Modelo,N.Hilos,Registrador,Medida,Precisión Activa,Precisión Reactiva
"LAN7
LAN8
LAN6","ZFB405CT
ZFB410CT
ZMB310","4
4
4","N
N
N","Absoluto
Absoluto
Absoluto","0,5S
1
1","2
2
2"
SIS./ELECTROMATIC,,,,,,
Código,Modelo,N.Hilos,Registrador,Medida,Precisión Activa,Precisión Reactiva
SIS1,RC500,4,S,Absoluto,1,2
ZIV,,,,,,
Código,Modelo,N.Hilos,Registrador,Medida,Precisión Activa,Precisión Reactiva
"ZIV6
ZIV5
ZIV1
ZIV2
ZIV7
ZIV4
ZIV3","5CTD-E*B
5CTD-E*C
5CTE-E*A
5CTE-E*B
5CTE-E*E
5CTR-E*B
5CTR-E*C","4
4
4
4
4
4
4","S
S
S
S
S
S
S","Absoluto
Absoluto
Absoluto
Absoluto
Absoluto
Absoluto
Absoluto","0,5S/C
1
0,2S
0,5S
0,5S
0,5S
1","1
2
0,5
1
1
1
2"
"En caso de que el equipo a codificar no se encuentre en este informe, por favor envíe un correo electrónico a la dirección
simelos@ree.es con asunto: Alta de nuevo modelo de contador e indicando los siguientes datos del nuevo modelo:
- Fabricante contador
- Descripción modelo
- Clase precisión activa
- Clase de precisión reactiva
- Nº de hilos
- Copia de Resolución de autorización de uso emitido por autoridad competente",,,,,,
27 agosto 2025 4 de 4,,,,,,
